entity_id,state,last_changed
sensor.washing_machine_progress,0.0,2025-12-20T11:35:37.498Z
sensor.washing_machine_progress,unavailable,2025-12-20T12:42:54.756Z
sensor.washing_machine_progress,0.0,2025-12-20T12:52:33.282Z
sensor.washing_machine_progress,0,2025-12-21T12:00:41.964Z
sensor.washing_machine_progress,0.0,2025-12-21T12:02:42.608Z
sensor.washing_machine_progress,32.2355708079197,2025-12-21T12:34:42.268Z
sensor.washing_machine_progress,33.0712246919799,2025-12-21T12:35:02.414Z
sensor.washing_machine_progress,42.1180449812243,2025-12-21T12:35:22.582Z
sensor.washing_machine_progress,40.8804749103171,2025-12-21T12:35:42.743Z
sensor.washing_machine_progress,42.0832436647073,2025-12-21T12:36:02.906Z
sensor.washing_machine_progress,42.8180015354579,2025-12-21T12:36:23.054Z
sensor.washing_machine_progress,41.5681715302446,2025-12-21T12:36:43.224Z
sensor.washing_machine_progress,42.770396733777,2025-12-21T12:37:03.412Z
sensor.washing_machine_progress,43.5018842965591,2025-12-21T12:37:23.571Z
sensor.washing_machine_progress,42.2405198736303,2025-12-21T12:37:43.739Z
sensor.washing_machine_progress,43.4411884029155,2025-12-21T12:38:03.896Z
sensor.washing_machine_progress,44.1693163125412,2025-12-21T12:38:24.072Z
sensor.washing_machine_progress,42.8973271409519,2025-12-21T12:38:44.236Z
sensor.washing_machine_progress,44.0966371881531,2025-12-21T12:39:04.416Z
sensor.washing_machine_progress,44.8211172010966,2025-12-21T12:39:24.571Z
sensor.washing_machine_progress,43.5393524534214,2025-12-21T12:39:44.744Z
sensor.washing_machine_progress,44.7371052778148,2025-12-21T12:40:04.962Z
sensor.washing_machine_progress,45.4579713946491,2025-12-21T12:40:25.074Z
sensor.washing_machine_progress,41.0932431493474,2025-12-21T12:41:05.300Z
sensor.washing_machine_progress,41.4348810792261,2025-12-21T12:41:25.455Z
sensor.washing_machine_progress,44.7807713781969,2025-12-21T12:41:45.707Z
sensor.washing_machine_progress,45.9742782206123,2025-12-21T12:42:05.877Z
sensor.washing_machine_progress,42.4452960659972,2025-12-21T12:42:26.033Z
sensor.washing_machine_progress,43.5173985286788,2025-12-21T12:42:46.216Z
sensor.washing_machine_progress,48.1478416579318,2025-12-21T12:43:06.399Z
sensor.washing_machine_progress,43.0297490320412,2025-12-21T12:43:26.556Z
sensor.washing_machine_progress,44.1003662769093,2025-12-21T12:43:46.712Z
sensor.washing_machine_progress,48.7345876480902,2025-12-21T12:44:06.881Z
sensor.washing_machine_progress,43.6019944043119,2025-12-21T12:44:27.031Z
sensor.washing_machine_progress,44.671214886496,2025-12-21T12:44:47.185Z
sensor.washing_machine_progress,46.7331450213084,2025-12-21T12:45:07.350Z
sensor.washing_machine_progress,44.1629610275423,2025-12-21T12:45:27.527Z
