entity_id,state,last_changed
sensor.dishwasher_current_power,1940.0,2025-12-30T10:05:17.770Z
sensor.dishwasher_current_power,1934.0,2025-12-30T10:05:47.890Z
sensor.dishwasher_current_power,1932.0,2025-12-30T10:06:18.030Z
sensor.dishwasher_current_power,1931.0,2025-12-30T10:07:18.272Z
sensor.dishwasher_current_power,1918.0,2025-12-30T10:07:48.403Z
sensor.dishwasher_current_power,1931.0,2025-12-30T10:08:18.558Z
sensor.dishwasher_current_power,1925.0,2025-12-30T10:08:48.697Z
sensor.dishwasher_current_power,1919.0,2025-12-30T10:09:18.831Z
sensor.dishwasher_current_power,1935.0,2025-12-30T10:09:48.952Z
sensor.dishwasher_current_power,71.0,2025-12-30T10:10:19.084Z
sensor.dishwasher_current_power,66.0,2025-12-30T10:10:49.220Z
sensor.dishwasher_current_power,71.0,2025-12-30T10:11:49.483Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:12:49.730Z
sensor.dishwasher_current_power,66.0,2025-12-30T10:13:19.848Z
sensor.dishwasher_current_power,71.0,2025-12-30T10:13:49.966Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:14:20.088Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:14:50.213Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:15:50.447Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:16:50.698Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:17:50.969Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:18:21.106Z
sensor.dishwasher_current_power,66.0,2025-12-30T10:18:51.240Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:19:21.353Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:19:51.498Z
sensor.dishwasher_current_power,62.0,2025-12-30T10:20:51.768Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:21:21.952Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:21:52.096Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:22:22.278Z
sensor.dishwasher_current_power,77.0,2025-12-30T10:22:52.448Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:23:22.593Z
sensor.dishwasher_current_power,67.0,2025-12-30T10:23:52.769Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:24:22.961Z
sensor.dishwasher_current_power,72.0,2025-12-30T10:24:53.116Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:25:23.272Z
sensor.dishwasher_current_power,72.0,2025-12-30T10:25:53.426Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:26:23.582Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:27:23.865Z
sensor.dishwasher_current_power,68.0,2025-12-30T10:27:54.006Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:28:24.198Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:29:24.527Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:29:54.674Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:30:24.828Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:31:25.120Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:31:55.265Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:32:25.413Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:33:25.799Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:33:56.004Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:34:26.149Z
